Mark,Model,Year,Body_type,Color,Capacity,HorsePowers,EngineType,Transmission,Mileage,Is_new,Price
Hyundai,Santa Fe,2012,Offroader / SUV,Yaş Asfalt,2.0,-0.0701534972763871,Dizel,Avtomat,0.1009358050149909,Xeyr,18529.41176470588
BMW,530,2008,Sedan,Göy,3.0,0.789386220235394,Benzin,Avtomat,1.0259951980433173,Xeyr,13470.588235294117
Hyundai,Elantra,2012,Sedan,Boz,1.8,-0.4022483881332116,Benzin,Avtomat,-0.1679429482576706,Xeyr,13470.588235294117
Hyundai,Accent,2007,Sedan,Qara,1.6,-0.7734132661496625,Benzin,Avtomat,0.493265821252335,Xeyr,7823.529411764706
Toyota,Camry,2012,Sedan,Ağ,2.5,-0.09945598764610691,Benzin,Avtomat,0.30769094742321074,Xeyr,16176.470588235294
Toyota,Land Cruiser,2018,Offroader / SUV,Ağ,4.6,1.1507836014619384,Benzin,Avtomat,-0.886247198877777,Xeyr,82500.0
Land Rover,RR Sport,2019,Offroader / SUV,Ağ,3.0,1.453576001949043,Benzin,Avtomat,-1.3221511040480085,Xeyr,84900.0
Mercedes,E 220,2014,Sedan,Ağ,2.2,-0.20689845233507956,Dizel,Avtomat,0.31739776162077976,Xeyr,21500.0
Land Rover,Range Rover,2016,Offroader / SUV,Göy,3.0,1.1605510982518448,Dizel,Avtomat,-0.750351800111811,Xeyr,64500.0
Nissan,Sunny,2008,Sedan,Ağ,1.6,-0.8222507500991956,Benzin,Avtomat,0.657136258535695,Xeyr,7882.352941176471
Land Rover,RR Sport,2018,Offroader / SUV,Ağ,3.0,1.1214811110922185,Benzin,Avtomat,-0.9736085266558981,Xeyr,79500.0
Chevrolet,Equinox,2019,Offroader / SUV,Qara,1.5,-0.20689845233507956,Benzin,Avtomat,-0.798885871099656,Xeyr,18823.529411764706
BMW,330,2019,Sedan,Qara,2.0,0.6526412651767015,Benzin,Avtomat,-1.1823050319036317,Xeyr,39900.0
Mercedes,CLA 250,2014,Sedan,Boz,2.0,0.19356891605109117,Benzin,Avtomat,-0.8134460923960095,Xeyr,25500.0
Toyota,Prado,2020,Offroader / SUV,Yaş Asfalt,3.0,-0.011548516536947492,Dizel,Avtomat,-0.13882250566496357,Xeyr,46500.0
Mercedes,S 560 4Matic,2017,Sedan,Qara,4.0,2.713583087846995,Benzin,Avtomat,-1.0027289692486052,Xeyr,89777.0
Land Rover,Range Rover,2013,Offroader / SUV,Qara,5.0,3.1140504562331652,Benzin,Avtomat,-0.42032011739446473,Xeyr,63000.0
Mercedes,EQC 400 4MATIC,2022,Offroader / SUV,Qara,0.0,2.117765783662692,Elektro,Avtomat,-1.4783628649294864,Bəli,88000.0
Hyundai,Grandeur,2012,Sedan,Qara,2.4,-0.10922348443601353,Benzin,Avtomat,0.3659318326086248,Xeyr,15235.29411764706
Toyota,Auris,2007,Hetçbek,Qara,1.4,-0.9882981955276078,Dizel,Mexaniki,0.3465182042134868,Xeyr,8205.882352941177
Toyota,Highlander,2022,Offroader / SUV,Ağ,2.5,0.5061288133281024,Hibrid,Avtomat,-1.3774119972747687,Xeyr,50800.0
Hyundai,Accent,2017,Hetçbek,Yaş Asfalt,1.6,-0.4999233560322776,Benzin,Avtomat,-0.7357915788154574,Xeyr,11058.823529411766
Mercedes,CLA 250,2014,Sedan,Boz,2.0,0.19356891605109117,Benzin,Avtomat,-0.8134460923960095,Xeyr,25500.0
Kia,Optima,2016,Sedan,Qara,1.6,-0.09945598764610691,Benzin,Avtomat,0.06705902346547506,Xeyr,13823.529411764706
Mercedes,E 220,2015,Sedan,Qara,2.2,-0.20689845233507956,Dizel,Avtomat,0.31739776162077976,Xeyr,24900.0
LADA (VAZ),Priora,2015,Hetçbek,Yaş Asfalt,1.6,-0.8320182468891021,Benzin,Mexaniki,0.2979841332256417,Xeyr,7352.941176470588
Kia,K5,2021,Sedan,Qara,1.6,-0.10922348443601353,Benzin,Avtomat,-1.1386243680145711,Xeyr,31500.0
Kia,Cerato,2014,Sedan,Ağ,1.6,-0.5975983239313437,Dizel,Avtomat,-0.1679429482576706,Xeyr,13071.764705882353
Toyota,Prius,2008,Liftbek,Ağ,1.5,-1.1250431505863003,Hibrid,Variator,0.19120917705238266,Xeyr,9235.29411764706
Hyundai,Santa Fe,2011,Offroader / SUV,Qara,2.0,-0.0701534972763871,Dizel,Avtomat,0.3465182042134868,Xeyr,15612.94117647059
Nissan,Tiida,2012,Hetçbek,Gümüşü,1.5,-0.8027157565193823,Benzin,Avtomat,-0.5562155161604309,Xeyr,8142.352941176471
BMW,528,2014,Sedan,Yaş Asfalt,2.0,0.5256638069079157,Benzin,Avtomat,-0.6290166226421984,Xeyr,22500.0
Toyota,Camry,2023,Sedan,Qara,2.5,0.2619413935804374,Hibrid,Avtomat,-1.4783628649294864,Bəli,44500.0
Toyota,Camry,2022,Sedan,Ağ,2.5,0.2619413935804374,Hibrid,Avtomat,-1.4783628649294864,Bəli,43500.0
Toyota,Camry,2022,Sedan,Qara,2.5,-0.09945598764610691,Hibrid,Avtomat,-1.4783628649294864,Bəli,43500.0
Mercedes,GLE 350,2020,Offroader / SUV,Gümüşü,2.0,0.6233387748069817,Benzin,Avtomat,-1.2670552266626067,Xeyr,63500.0
Toyota,Corolla,2014,Sedan,Qara,1.8,-0.5780633303515305,Benzin,Avtomat,-0.1970633908503776,Xeyr,16176.470588235294
Nissan,Tiida,2012,Hetçbek,Boz,1.5,-0.8027157565193823,Benzin,Avtomat,-0.6532836581361209,Xeyr,8764.70588235294
Nissan,Tiida,2012,Hetçbek,Qızılı,1.5,-0.8027157565193823,Benzin,Avtomat,-1.0706766686315883,Xeyr,8588.235294117647
Kia,Cerato,2016,Sedan,Ağ,2.0,-0.10922348443601353,Benzin,Avtomat,-0.8378781437312907,Xeyr,14058.823529411766
BMW,428,2015,Sedan,Qara,2.0,0.5256638069079157,Benzin,Avtomat,-0.07087480628198052,Xeyr,20500.0
Chevrolet,Aveo,2013,Sedan,Yaş Asfalt,1.6,-0.7441107757799427,Benzin,Avtomat,0.793031657301661,Xeyr,7352.941176470588
Land Rover,Range Rover,2016,Offroader / SUV,Qara,5.0,3.1140504562331652,Benzin,Avtomat,-0.45138192282668554,Xeyr,79500.0
Land Rover,Discovery Sport,2016,Offroader / SUV,Yaşıl,2.0,0.4768263229583827,Benzin,Avtomat,-0.17764976245523958,Xeyr,24500.0
Hyundai,ix55,2012,Offroader / SUV,Qara,3.8,0.7112462459161412,Benzin,Avtomat,0.4290261248928233,Xeyr,17058.823529411766
Mercedes,GL 350,2013,Offroader / SUV,Ağ,3.0,0.6526412651767015,Dizel,Avtomat,1.3085120252635631,Xeyr,40000.0
Mercedes,GLE 350,2020,Offroader / SUV,Gümüşü,2.0,0.6233387748069817,Benzin,Avtomat,-1.2670552266626067,Xeyr,63500.0
Toyota,Corolla,2014,Sedan,Qara,1.8,-0.5780633303515305,Benzin,Avtomat,-0.1970633908503776,Xeyr,16176.470588235294
Nissan,Tiida,2012,Hetçbek,Boz,1.5,-0.8027157565193823,Benzin,Avtomat,-0.6532836581361209,Xeyr,8764.70588235294
LADA (VAZ),2107,2006,Sedan,Ağ,1.5,-1.2324856152752728,Benzin,Mexaniki,-0.8610094819640977,Xeyr,3647.0588235294117
Toyota,Corolla,2022,Sedan,Ağ,1.8,-0.910158221208355,Hibrid,Avtomat,-1.4783628649294864,Bəli,25000.0
Chevrolet,Cruze,2014,Sedan,Ağ,1.4,-0.4999233560322776,Benzin,Avtomat,0.15238192026210662,Xeyr,6941.176470588235
Kia,Sportage,2012,Offroader / SUV,Qara,2.0,-0.27527092986442575,Benzin,Avtomat,0.2494500622377967,Xeyr,15000.0
Hyundai,Santa Fe,2008,Offroader / SUV,Gümüşü,2.0,-0.0701534972763871,Dizel,Avtomat,-0.1892979394923224,Xeyr,12823.529411764706
LADA (VAZ),2107,2005,Sedan,Ağ,1.6,-1.1348106473762067,Benzin,Mexaniki,-0.5592634558184675,Xeyr,3411.764705882353
Toyota,Corolla,2023,Sedan,Qara,1.6,-0.6562033046707832,Benzin,Avtomat,-1.4783628649294864,Bəli,28200.0
Toyota,Corolla,2023,Sedan,Qara,1.6,-0.6562033046707832,Benzin,Avtomat,-1.4783628649294864,Bəli,24400.0
Mercedes,E 220,1999,Sedan,Göy,2.2,-0.47062086566255784,Dizel,Avtomat,2.258760601134581,Xeyr,8705.882352941177
Toyota,Corolla,2023,Sedan,Ağ,1.6,-0.6562033046707832,Benzin,Avtomat,-1.4783628649294864,Bəli,29000.0
Chevrolet,Spark,2023,Hetçbek,Yaş Asfalt,1.3,-1.0371356794771407,Benzin,Avtomat,-1.4783628649294864,Bəli,12470.588235294117
Hyundai,Santa Fe,2023,Offroader / SUV,Qara,1.6,0.37915135505931663,Hibrid,Avtomat,-1.4783628649294864,Bəli,48764.705882352944
Hyundai,Santa Fe,2009,Offroader / SUV,Ağ,2.0,-0.0701534972763871,Dizel,Avtomat,-0.5270950735677238,Xeyr,15411.764705882353
Mercedes,S 500 4Matic,2020,Sedan,Qara,3.0,2.3814881969901704,Benzin,Avtomat,-1.2308391028914767,Xeyr,157000.0
Chevrolet,Aveo,2014,Sedan,Yaş Asfalt,1.4,-0.8906232276285417,Benzin,Avtomat,-0.38149286060418874,Xeyr,8764.70588235294
Mercedes,GLE 43 AMG Coupe ,2018,Offroader / SUV,Qara,3.0,1.9419508414443731,Benzin,Avtomat,-0.750351800111811,Xeyr,71500.0
Land Rover,Range Rover,2016,Offroader / SUV,Boz,3.0,1.453576001949043,Benzin,Avtomat,-0.83496609947202,Xeyr,62500.0
Hyundai,HD-72,2013,Yük maşını,Ağ,3.9,-0.4022483881332116,Dizel,Mexaniki,-0.23945304845116144,Xeyr,23235.29411764706
Mercedes,E 220,2013,Sedan,Ağ,2.2,-0.20689845233507956,Dizel,Avtomat,0.4144659035964698,Xeyr,24900.0
Toyota,C-HR,2022,Offroader / SUV,Gümüşü,2.0,-0.4217833817130248,Benzin,Avtomat,-1.4783628649294864,Bəli,32900.0
Kia,Cerato,2013,Sedan,Ağ,2.0,-0.34364340739377197,Benzin,Avtomat,-0.03204754949170449,Xeyr,14000.0
Hyundai,Santa Fe,2010,Offroader / SUV,Ağ,2.0,-0.0701534972763871,Dizel,Avtomat,0.4772204573837534,Xeyr,14588.235294117647
Toyota,Corolla,2023,Sedan,Qara,1.8,-0.5389933431919041,Hibrid,Avtomat,-1.4783628649294864,Bəli,28700.0
Toyota,Highlander,2022,Offroader / SUV,Ağ,2.5,0.5647337940675421,Hibrid,Avtomat,-1.4783628649294864,Bəli,69900.0
LADA (VAZ),Niva,2022,Offroader / SUV,Yaş Asfalt,1.7,-1.0859731634266738,Benzin,Mexaniki,-1.374499953015498,Xeyr,13529.411764705883
Opel,Astra,2006,Universal,Mavi,1.3,-0.9882981955276078,Dizel,Mexaniki,1.3269064381679565,Xeyr,6705.882352941177
Toyota,Prado,2021,Offroader / SUV,Qara,2.7,-0.27527092986442575,Benzin,Avtomat,-1.3502329175215755,Xeyr,48800.0
Mercedes,E 250,2014,Sedan,Qara,2.2,0.12519643852174495,Dizel,Avtomat,-0.09999524887468754,Xeyr,22500.0
BMW,328,2016,Sedan,Qara,2.0,0.5256638069079157,Benzin,Avtomat,-0.41061330319689576,Xeyr,19900.0
Toyota,Prado,2023,Offroader / SUV,Qara,2.7,-0.23620094270479935,Benzin,Avtomat,-1.4783628649294864,Bəli,53600.0
Hyundai,ix35,2013,Offroader / SUV,Qara,2.0,-0.27527092986442575,Benzin,Avtomat,0.03590014989127855,Xeyr,14647.058823529413
Hyundai,Elantra,2012,Sedan,Qara,1.8,-0.4022483881332116,Benzin,Avtomat,-0.3620792322090507,Xeyr,13235.29411764706
Opel,Astra,2000,Universal,Gümüşü,1.8,-0.7343432789900362,Benzin,Avtomat,0.42168777335946117,Xeyr,5705.882352941177
Toyota,Highlander,2022,Offroader / SUV,Qara,2.5,0.5647337940675421,Hibrid,Avtomat,-1.4783628649294864,Bəli,69900.0
Opel,Astra,2005,Hetçbek,Göy,1.4,-0.9882981955276078,Benzin,Mexaniki,0.04560696408884756,Xeyr,6823.529411764706
Toyota,Prado,2012,Offroader / SUV,Ağ,2.7,-0.23620094270479935,Benzin,Avtomat,0.3659318326086248,Xeyr,27000.0
Toyota,Corolla,2006,Universal,Yaş Asfalt,1.4,-0.9882981955276078,Benzin,Mexaniki,-0.09999524887468754,Xeyr,8941.176470588236
Mercedes,E 200,2000,Sedan,Göy,2.0,-0.5389933431919041,Benzin,Avtomat,1.8801948474293897,Xeyr,7588.235294117647
Mercedes,C 300,2015,Sedan,Qara,2.0,0.5256638069079157,Benzin,Avtomat,-0.8085926852972251,Xeyr,27500.0
Toyota,Camry,2019,Sedan,Ağ,2.5,-0.09945598764610691,Benzin,Avtomat,-0.3523724180114817,Xeyr,35800.0
Chevrolet,Cruze,2012,Sedan,Gümüşü,1.4,-0.4999233560322776,Benzin,Avtomat,0.589188559152712,Xeyr,7588.235294117647
Chevrolet,Tracker,2023,Offroader / SUV,Qara,1.2,-0.5780633303515305,Benzin,Avtomat,-1.4783628649294864,Bəli,25588.235294117647
BMW,X5 M,2020,Offroader / SUV,Qara,4.4,4.237312587072425,Benzin,Avtomat,-1.1386243680145711,Xeyr,146000.0
Nissan,Note,2015,Hetçbek,Çəhrayı,1.2,-0.910158221208355,Benzin,Avtomat,-1.1095039254218642,Xeyr,9117.64705882353
BMW,528,2013,Sedan,Yaş Asfalt,2.0,0.5256638069079157,Benzin,Avtomat,0.28691836504041307,Xeyr,20300.0
Kia,Rio,2008,Sedan,Qızılı,1.4,-0.9199257179982616,Benzin,Mexaniki,0.9483406844627652,Xeyr,5823.529411764706
Chevrolet,Spark,2015,Hetçbek,Gümüşü,1.2,-1.0469031762670473,Benzin,Avtomat,-0.08649307032586905,Xeyr,10370.588235294117
Hyundai,Accent,2017,Hetçbek,Yaş Asfalt,1.6,-0.4999233560322776,Benzin,Avtomat,-0.7357915788154574,Xeyr,11058.823529411766
Kia,Sportage,2014,Offroader / SUV,Ağ,2.0,-0.0701534972763871,Dizel,Avtomat,0.07472740668155457,Xeyr,19941.176470588234
Chevrolet,Cruze,2012,Sedan,Gümüşü,1.4,-0.4999233560322776,Benzin,Avtomat,0.589188559152712,Xeyr,7588.235294117647
Toyota,RAV4,2023,Offroader / SUV,Yaş Asfalt,2.5,0.2619413935804374,Hibrid,Avtomat,-1.4783628649294864,Bəli,43500.0
Toyota,Corolla,2022,Sedan,Ağ,1.6,-0.6562033046707832,Benzin,Avtomat,-1.4521544665960502,Xeyr,23700.0
Hyundai,ix35,2014,Offroader / SUV,Qara,2.0,-0.4022483881332116,Benzin,Avtomat,0.35622501841105575,Xeyr,16705.88235294118
Kia,Niro,2017,Offroader / SUV,Ağ,1.6,-0.6464358078808767,Hibrid,Avtomat,-0.847419942087501,Xeyr,21647.058823529413
BMW,530e,2019,Sedan,Qara,2.0,0.5549662972776355,Plug-in Hibrid,Avtomat,-1.1190651374064697,Xeyr,42500.0
Kia,Sorento,2010,Offroader / SUV,Yaş Asfalt,2.0,-0.25573593628461255,Dizel,Avtomat,-0.7018177291239659,Xeyr,16764.70588235294
Hyundai,Elantra,2013,Sedan,Qara,1.8,-0.4022483881332116,Benzin,Avtomat,-0.7631065539674167,Xeyr,11705.882352941177
Kia,Sorento,2022,Offroader / SUV,Qara,1.6,0.37915135505931663,Hibrid,Avtomat,-1.2745197667805372,Xeyr,40800.0
Toyota,Tundra,2009,Pikap,Qara,5.7,1.8540433703352137,Benzin,Avtomat,-0.6532836581361209,Xeyr,46000.0
Kia,Optima,2013,Sedan,Yaş Asfalt,2.0,0.8089212138152072,Benzin,Avtomat,-0.8085926852972251,Xeyr,13823.529411764706
Toyota,Corolla,2023,Sedan,Ağ,1.6,-0.6562033046707832,Benzin,Avtomat,-1.4492424223367795,Xeyr,25800.0
Toyota,Corolla,2006,Hetçbek,Yaş Asfalt,1.4,-0.9882981955276078,Dizel,Mexaniki,-0.08058162047954952,Xeyr,9058.823529411766
Toyota,Highlander,2022,Offroader / SUV,Ağ,2.5,0.5647337940675421,Hibrid,Avtomat,-1.462831962213376,Xeyr,63000.0
Toyota,Prado,2010,Offroader / SUV,Qara,2.7,-0.27527092986442575,Benzin,Avtomat,0.657136258535695,Xeyr,22647.058823529413
Toyota,RAV4,2019,Offroader / SUV,Ağ,2.0,-0.4120158849231182,Benzin,Avtomat,-1.1871584390024164,Xeyr,30000.0
Hyundai,Coupe,1997,Kupe,Bənövşəyi,1.8,-0.5975983239313437,Benzin,Mexaniki,0.17179554865724464,Xeyr,2058.823529411765
Toyota,Prado,2011,Offroader / SUV,Qara,2.7,-0.27527092986442575,Benzin,Avtomat,0.14267510606453762,Xeyr,25588.235294117647
Kia,Rio,2008,Hetçbek,Qara,1.4,-0.9199257179982616,Benzin,Mexaniki,0.04560696408884756,Xeyr,7264.705882352941
Toyota,Corolla,2022,Sedan,Ağ,1.6,-0.6562033046707832,Benzin,Avtomat,-1.4317701567811552,Xeyr,29300.0
Chevrolet,Lacetti,2022,Sedan,Qara,1.6,-0.8027157565193823,Benzin,Avtomat,-1.4783628649294864,Bəli,16352.94117647059
Kia,Optima,2020,Sedan,Boz,2.0,-0.34364340739377197,Hibrid,Avtomat,-1.3715879087562275,Xeyr,36058.82352941176
Chevrolet,Cruze,2016,Sedan,Göy,1.4,-0.4999233560322776,Benzin,Avtomat,-0.5600982418394584,Xeyr,10294.117647058823
Hyundai,Tucson,2009,Offroader / SUV,Qara,2.0,-0.0701534972763871,Dizel,Avtomat,-0.21647701924551563,Xeyr,14000.0
Hyundai,Elantra,2014,Sedan,Qara,1.6,-0.5780633303515305,Dizel,Avtomat,0.08443422087912358,Xeyr,13941.176470588236
BMW,X5,2019,Offroader / SUV,Göy,3.0,1.453576001949043,Benzin,Avtomat,-0.828006313692363,Xeyr,85000.0
Land Rover,Range Rover,2023,Offroader / SUV,Qara,4.4,3.3094003920312973,Benzin,Avtomat,-1.4783628649294864,Bəli,318500.0
Toyota,Prado,2011,Offroader / SUV,Qara,2.7,-0.27527092986442575,Benzin,Avtomat,0.14267510606453762,Xeyr,25588.235294117647
Kia,Rio,2008,Hetçbek,Qara,1.4,-0.9199257179982616,Benzin,Mexaniki,0.04560696408884756,Xeyr,7264.705882352941
Toyota,Corolla,2022,Sedan,Ağ,1.6,-0.6562033046707832,Benzin,Avtomat,-1.4317701567811552,Xeyr,29300.0
Toyota,RAV4,2020,Offroader / SUV,Qara,2.0,-0.15806096838554654,Benzin,Avtomat,-1.0803834828291572,Xeyr,31900.0
Toyota,RAV4,2022,Offroader / SUV,Qara,2.0,-0.17759596196535973,Benzin,Avtomat,-1.4783628649294864,Bəli,36800.0
Toyota,Highlander,2022,Offroader / SUV,Göy,2.5,0.5061288133281024,Hibrid,Avtomat,-1.4783628649294864,Bəli,55500.0
Mercedes,E 350,2009,Sedan,Göy,3.5,1.1214811110922185,Benzin,Avtomat,0.754204400511385,Xeyr,17000.0
Land Rover,Range Rover,2013,Offroader / SUV,Yaş Asfalt,5.0,3.1140504562331652,Benzin,Avtomat,0.08443422087912358,Xeyr,53900.0
Toyota,Highlander,2022,Offroader / SUV,Göy,2.5,0.5647337940675421,Hibrid,Avtomat,-1.4783628649294864,Bəli,67900.0
Mercedes,S 600,2010,Sedan,Yaş Asfalt,5.5,3.1824229337625116,Benzin,Avtomat,-0.4882678167774478,Xeyr,30500.0
Toyota,RAV4,2019,Offroader / SUV,Ağ,2.0,-0.15806096838554654,Benzin,Avtomat,-1.3036402093732444,Xeyr,30300.0
Hyundai,Elantra,2012,Sedan,Yaş Asfalt,1.8,-0.4022483881332116,Benzin,Avtomat,-0.7775308798650042,Xeyr,11470.588235294117
Hyundai,Santa Fe,2013,Offroader / SUV,Yaş Asfalt,2.0,-0.0701534972763871,Dizel,Avtomat,-0.24074405473943813,Xeyr,19588.235294117647
Chevrolet,Cruze,2012,Sedan,Tünd qırmızı,1.4,-0.4999233560322776,Benzin,Avtomat,0.8512725424870751,Xeyr,8117.64705882353
Hyundai,Tucson,2018,Offroader / SUV,Qara,2.0,-0.4022483881332116,Benzin,Avtomat,-1.2720930632311451,Xeyr,21470.58823529412
Toyota,RAV4,2022,Offroader / SUV,Qara,2.0,-0.17759596196535973,Benzin,Avtomat,-1.4783628649294864,Bəli,36000.0
Toyota,Prado,2013,Offroader / SUV,Ağ,3.0,-0.011548516536947492,Dizel,Avtomat,-0.5523327904814033,Xeyr,42500.0
Chevrolet,Malibu,2018,Sedan,Gümüşü,1.5,-0.27527092986442575,Benzin,Avtomat,-0.4591473741847408,Xeyr,12823.529411764706
Hyundai,Santa Fe,2014,Offroader / SUV,Ağ,2.4,-0.15806096838554654,Benzin,Avtomat,-0.2786006301099573,Xeyr,21705.88235294118
Toyota,Camry,2022,Sedan,Qara,2.5,0.2619413935804374,Hibrid,Avtomat,-1.4783628649294864,Bəli,42200.0
Mercedes,E 300 de,2020,Sedan,Qara,2.0,1.1703185950417514,Plug-in Hibrid,Avtomat,-0.5659223303579999,Xeyr,53900.0
Toyota,Land Cruiser,2013,Offroader / SUV,Ağ,4.6,1.2386910725710978,Benzin,Avtomat,-0.6306376606131924,Xeyr,50500.0
Kia,Sorento,2010,Offroader / SUV,Ağ,2.0,-0.0701534972763871,Dizel,Avtomat,-0.5523327904814033,Xeyr,17058.823529411766
Kia,Ceed,2007,Universal,Qara,1.6,-0.7441107757799427,Dizel,Mexaniki,1.0454088264384551,Xeyr,8764.70588235294
Land Rover,Range Rover,2018,Offroader / SUV,Qara,5.0,3.5047503278294294,Benzin,Avtomat,-0.7181834178610673,Xeyr,130000.0
Mercedes,E 300 e,2021,Sedan,Qara,2.0,1.2582260661509108,Plug-in Hibrid,Avtomat,-1.2745197667805372,Xeyr,55500.0
Hyundai,Elantra,2019,Sedan,Qara,1.6,-0.5780633303515305,Benzin,Avtomat,-1.241982525590286,Xeyr,18529.41176470588
BMW,520,2009,Sedan,Qara,2.0,-0.0701534972763871,Dizel,Avtomat,-0.3232519754187747,Xeyr,15000.0
Toyota,Prado,2013,Offroader / SUV,Ağ,3.0,-0.011548516536947492,Dizel,Avtomat,-0.5523327904814033,Xeyr,42500.0
Chevrolet,Malibu,2018,Sedan,Gümüşü,1.5,-0.27527092986442575,Benzin,Avtomat,-0.4591473741847408,Xeyr,12823.529411764706
Hyundai,Santa Fe,2014,Offroader / SUV,Ağ,2.4,-0.15806096838554654,Benzin,Avtomat,-0.2786006301099573,Xeyr,21705.88235294118
Toyota,Camry,2022,Sedan,Qara,2.5,0.2619413935804374,Hibrid,Avtomat,-1.4783628649294864,Bəli,42200.0
Kia,Sorento,2010,Offroader / SUV,Gümüşü,2.0,-0.0701534972763871,Dizel,Avtomat,0.2787743479286527,Xeyr,14941.176470588236
Toyota,RAV4,2022,Offroader / SUV,Ağ,2.5,0.2619413935804374,Hibrid,Avtomat,-1.4783628649294864,Bəli,40000.0
Kia,Optima,2012,Sedan,Ağ,2.0,0.8089212138152072,Benzin,Avtomat,-0.07184548770173742,Xeyr,12588.235294117647
Chevrolet,Captiva,2021,Offroader / SUV,Boz,1.5,-0.4022483881332116,Benzin,Avtomat,-1.3521742803610894,Xeyr,19800.0
Toyota,RAV4,2022,Offroader / SUV,Boz,2.0,-0.15806096838554654,Benzin,Avtomat,-1.4783628649294864,Bəli,34000.0
Toyota,RAV4,2020,Offroader / SUV,Ağ,2.0,-0.17759596196535973,Benzin,Avtomat,-1.21724956301488,Xeyr,32000.0
Mercedes,E 220,2001,Sedan,Göy,2.2,-0.47062086566255784,Dizel,Avtomat,1.4532988658345025,Xeyr,9058.823529411766
Opel,Astra,2008,Universal,Gümüşü,1.3,-0.9882981955276078,Dizel,Mexaniki,1.7107429919824277,Xeyr,7529.411764705883
Toyota,RAV4,2023,Offroader / SUV,Qara,2.0,-0.15806096838554654,Benzin,Avtomat,-1.4783628649294864,Bəli,34500.0
LADA (VAZ),2107,2007,Sedan,Ağ,1.6,-1.1348106473762067,Benzin,Mexaniki,0.19120917705238266,Xeyr,2882.3529411764707
Hyundai,Elantra,2012,Sedan,Yaş Asfalt,1.8,-0.4022483881332116,Benzin,Avtomat,0.01648652149614054,Xeyr,11000.0
Toyota,RAV4,2023,Offroader / SUV,Boz,2.0,-0.15806096838554654,Benzin,Avtomat,-1.4783628649294864,Bəli,37900.0
Toyota,RAV4,2023,Offroader / SUV,Boz,2.5,0.2619413935804374,Hibrid,Avtomat,-1.4783628649294864,Bəli,42900.0
LADA (VAZ),2115,2011,Sedan,Qara,1.6,-1.1348106473762067,Benzin,Mexaniki,0.9483406844627652,Xeyr,4176.470588235295
Toyota,Land Cruiser,2011,Offroader / SUV,Ağ,4.0,0.88706118813446,Benzin,Avtomat,0.0941410350766926,Xeyr,33800.0
Toyota,Land Cruiser,2013,Offroader / SUV,Ağ,4.6,1.2386910725710978,Benzin,Avtomat,-0.6306376606131924,Xeyr,50500.0
Mercedes,GLS 450,2022,Offroader / SUV,Qara,3.0,1.7172984152765212,Benzin,Avtomat,-1.4783628649294864,Bəli,148500.0
Toyota,Prius,2013,Hetçbek,Mavi,1.8,-0.9003907244184484,Hibrid,Avtomat,-0.11940887726982555,Xeyr,12418.235294117647
Mercedes,E 320,2008,Sedan,Göy,3.0,0.320546374319877,Dizel,Avtomat,1.1133565258214382,Xeyr,12941.176470588236
Land Rover,Range Rover,2016,Offroader / SUV,Qara,3.0,1.453576001949043,Benzin,Avtomat,-0.6008668614692483,Xeyr,68800.0
Hyundai,Sonata,2015,Sedan,Qara,2.0,0.5256638069079157,Benzin,Avtomat,-0.3911996748017577,Xeyr,17000.0
Mercedes,C 240,2004,Sedan,Qara,2.4,-0.20689845233507956,Benzin,Avtomat,1.4358363070930757,Xeyr,7470.588235294118
Toyota,Land Cruiser,2011,Offroader / SUV,Ağ,4.0,0.88706118813446,Benzin,Avtomat,0.0941410350766926,Xeyr,33800.0
LADA (VAZ),2107,1995,Sedan,Ağ,1.6,-1.1348106473762067,Benzin,Mexaniki,1.9445704391876675,Xeyr,1823.5294117647059
Hyundai,i30,2008,Universal,Yaş Asfalt,1.6,-0.7343432789900362,Dizel,Mexaniki,0.30769094742321074,Xeyr,8176.470588235295
Hyundai,Santa Fe,2010,Offroader / SUV,Ağ,2.0,-0.0701534972763871,Dizel,Avtomat,-0.837713127889932,Xeyr,14294.117647058823
Kia,Rio,2007,Hetçbek,Qara,1.5,-0.7929482597294757,Dizel,Mexaniki,0.9483406844627652,Xeyr,6470.588235294118
BMW,525,2003,Sedan,Gümüşü,2.5,0.007986477042865715,Benzin,Avtomat,1.2395451103898354,Xeyr,7588.235294117647
Mercedes,C 250,2006,Sedan,Qara,2.5,0.12519643852174495,Benzin,Avtomat,1.25777450745287,Xeyr,7647.058823529412
Hyundai,Santa Fe,2014,Offroader / SUV,Ağ,2.4,-0.15806096838554654,Benzin,Avtomat,-0.18735657665280858,Xeyr,20529.411764705885
Toyota,Prado,2010,Offroader / SUV,Ağ,2.7,-0.27527092986442575,Benzin,Avtomat,0.026193335693709546,Xeyr,25500.0
Toyota,Camry,2008,Sedan,Qara,2.5,-0.11899098122592013,Benzin,Avtomat,0.15238192026210662,Xeyr,12235.29411764706
Hyundai,Accent,2007,Sedan,Göy,1.5,-0.7929482597294757,Dizel,Mexaniki,0.7231425950791642,Xeyr,6941.176470588235
Mercedes,240 D,1999,Sedan,Göy,2.4,-0.20689845233507956,Benzin,Avtomat,2.598499098049496,Xeyr,5235.294117647059
Mercedes,ML 350,2012,Offroader / SUV,Ağ,3.5,1.1214811110922185,Benzin,Avtomat,-0.022340735294135487,Xeyr,24600.0
