,Mark,Model,Year,Body_type,Color,Capacity,HorsePowers,EngineType,Transmission,Mileage,Is_new,Price,Price_currency,Link
14339,Toyota,Avalon,2022,Sedan,Qara,2.5,218,Hibrid,Avtomat,17300,Xeyr,44000,USD,https://turbo.az//autos/7419343-toyota-avalon
14340,LADA (VAZ),Granta,2021,Sedan,Qızılı,1.6,98,Benzin,Avtomat,51000,Xeyr,21000,AZN,https://turbo.az//autos/7432880-lada-vaz-granta
14341,Kia,Picanto,2012,Hetçbek,Qırmızı,1.3,90,Benzin,Avtomat,89000,Xeyr,13900,AZN,https://turbo.az//autos/7193636-kia-picanto
14342,Volkswagen,Passat,2009,Sedan,Ağ,2.0,200,Benzin,Avtomat,211427,Xeyr,13300,AZN,https://turbo.az//autos/7432851-volkswagen-passat
14343,Opel,Astra,1995,Hetçbek,Göy,1.6,75,Benzin,Avtomat,400000,Xeyr,5500,AZN,https://turbo.az//autos/7432875-opel-astra
14344,Suzuki,Intruder,2013,Motosiklet,Qara,1.5,120,Benzin,Mexaniki,28000,Xeyr,18000,AZN,https://turbo.az//autos/7261414-suzuki-intruder
14345,Mercedes,GLA 250,2021,Offroader / SUV,Qara,2.0,224,Plug-in Hibrid,Avtomat,13500,Xeyr,51000,USD,https://turbo.az//autos/7392519-mercedes-gla-250
14346,Hyundai,Santa Fe,2007,Offroader / SUV,Qara,2.7,188,Benzin,Avtomat,245000,Xeyr,19400,AZN,https://turbo.az//autos/7393055-hyundai-santa-fe
14347,Opel,Vectra,2005,Sedan,Boz,2.2,155,Benzin,Avtomat,350000,Xeyr,9800,AZN,https://turbo.az//autos/7396619-opel-vectra
14348,Hyundai,Elantra,2011,Sedan,Ağ,1.8,150,Benzin,Avtomat,229427,Xeyr,18200,AZN,https://turbo.az//autos/7432870-hyundai-elantra
14349,Toyota,Corolla,2005,Hetçbek,Boz,1.4,97,Benzin,Mexaniki,233000,Xeyr,14000,AZN,https://turbo.az//autos/7403467-toyota-corolla
14350,Honda,Insight,2012,Liftbek,Yaş Asfalt,1.3,98,Hibrid,Variator,200000,Xeyr,17500,AZN,https://turbo.az//autos/7432868-honda-insight
14351,Kia,Optima,2013,Sedan,Qara,2.0,274,Benzin,Avtomat,268760,Xeyr,22900,AZN,https://turbo.az//autos/7405919-kia-optima
14352,Kia,Optima,2011,Sedan,Ağ,2.4,180,Benzin,Avtomat,228000,Xeyr,22500,AZN,https://turbo.az//autos/7416228-kia-optima
14353,Kia,Sportage,1996,Offroader / SUV,Göy,2.0,128,Benzin,Mexaniki,279160,Xeyr,3600,AZN,https://turbo.az//autos/7432861-kia-sportage
14354,Chevrolet,Malibu,2016,Sedan,Göy,1.5,160,Benzin,Avtomat,241000,Xeyr,20900,AZN,https://turbo.az//autos/7432866-chevrolet-malibu
14355,Kia,Sorento,2011,Offroader / SUV,Qara,2.0,184,Dizel,Avtomat,227000,Xeyr,29400,AZN,https://turbo.az//autos/7422882-kia-sorento
14356,Kia,Sorento,2010,Offroader / SUV,Yaş Asfalt,2.0,184,Dizel,Avtomat,82000,Xeyr,28400,AZN,https://turbo.az//autos/7422927-kia-sorento
14357,Opel,Astra,2006,Hetçbek,Gümüşü,1.3,90,Dizel,Mexaniki,243000,Xeyr,10800,AZN,https://turbo.az//autos/7432845-opel-astra
14358,Mercedes,E 320,2000,Sedan,Qara,3.2,224,Benzin,Avtomat,375000,Xeyr,15200,AZN,https://turbo.az//autos/7432862-mercedes-e-320
14359,Toyota,Corolla,2006,Hetçbek,Gümüşü,1.4,90,Dizel,Mexaniki,182000,Xeyr,13500,AZN,https://turbo.az//autos/7396945-toyota-corolla
14360,Khazar,SD,2019,Sedan,Ağ,1.7,113,Benzin,Mexaniki,215000,Xeyr,12000,AZN,https://turbo.az//autos/7432858-khazar-sd
14361,Lexus,GX 460,2014,Offroader / SUV,Qara,4.6,296,Benzin,Avtomat,123735,Xeyr,45000,USD,https://turbo.az//autos/7432859-lexus-gx-460
14362,LADA (VAZ),2115,2008,Sedan,Qara,1.6,81,Benzin,Mexaniki,367500,Xeyr,7500,AZN,https://turbo.az//autos/7432855-lada-vaz-2115
14363,Mercedes,GL 450,2006,Offroader / SUV,Qara,4.7,340,Benzin,Avtomat,242400,Xeyr,21800,AZN,https://turbo.az//autos/7338948-mercedes-gl-450
14364,Changan,Oshan A600,2022,Minivan,Ağ,0.0,123,Elektro,Avtomat,0,Bəli,36900,AZN,https://turbo.az//autos/6947504-changan-oshan-a600
