,Mark,Model,Year,Body_type,Color,Capacity,HorsePowers,EngineType,Transmission,Mileage,Is_new,Price,Price_currency,Link
0,Chevrolet,Cobalt,2022,Sedan,Ağ,1.5,106,Benzin,Avtomat,0,Bəli,23000,AZN,https://turbo.az//autos/6563353-chevrolet-cobalt
1,Toyota,Prado,2008,Offroader / SUV,Ağ,2.7,163,Benzin,Avtomat,137500,Xeyr,37000,AZN,https://turbo.az//autos/7242557-toyota-prado
2,Mercedes,S 560 4Matic,2017,Sedan,Qara,4.0,469,Benzin,Avtomat,49000,Xeyr,89777,USD,https://turbo.az//autos/7397776-mercedes-s-560-4matic
3,Kia,Sorento,2020,Offroader / SUV,Mavi,1.6,230,Hibrid,Avtomat,22000,Xeyr,38500,USD,https://turbo.az//autos/7358108-kia-sorento
4,Mercedes,CLA 45 S AMG,2016,Sedan,Qara,2.0,381,Benzin,Avtomat,91000,Xeyr,37000,USD,https://turbo.az//autos/7224943-mercedes-cla-45-s-amg
5,Mercedes,170 V,1938,Kupe,Qara,2.4,85,Benzin,Mexaniki,82000,Xeyr,850000,USD,https://turbo.az//autos/6394429-mercedes-170-v
6,Hyundai,IONIQ Hybrid,2019,Liftbek,Ağ,1.6,109,Benzin,Avtomat,160000,Xeyr,25900,AZN,https://turbo.az//autos/6900519-hyundai-ioniq-hybrid
7,Land Rover,Range Rover,2016,Offroader / SUV,Qara,5.0,510,Benzin,Avtomat,105800,Xeyr,79500,USD,https://turbo.az//autos/7398847-land-rover-range-rover
8,BMW,328,2012,Sedan,Göy,2.0,245,Benzin,Avtomat,133000,Xeyr,25800,AZN,https://turbo.az//autos/7417791-bmw-328
9,Hyundai,Sonata,2015,Sedan,Qara,2.0,245,Benzin,Avtomat,112000,Xeyr,28900,AZN,https://turbo.az//autos/7315149-hyundai-sonata
10,Mercedes,S 350,2004,Sedan,Qara,3.7,245,Benzin,Avtomat,99488,Xeyr,25900,AZN,https://turbo.az//autos/7437719-mercedes-s-350
11,Hyundai,Santa Fe,2007,Offroader / SUV,Qara,2.2,150,Dizel,Avtomat,221732,Xeyr,20500,AZN,https://turbo.az//autos/7430341-hyundai-santa-fe
12,Mercedes,S 500,2007,Sedan,Göy,5.5,388,Benzin,Avtomat,298000,Xeyr,27700,AZN,https://turbo.az//autos/7365625-mercedes-s-500
13,Toyota,Prius,2007,Liftbek,Mavi,1.5,76,Hibrid,Avtomat,194000,Xeyr,16200,AZN,https://turbo.az//autos/7438972-toyota-prius
14,BMW,X7,2023,Offroader / SUV,Qara,3.0,340,Benzin,Avtomat,3000,Xeyr,139777,USD,https://turbo.az//autos/7281106-bmw-x7
15,Ford,Transit,2010,Mikroavtobus,Ağ,2.4,140,Dizel,Mexaniki,48000,Xeyr,31000,AZN,https://turbo.az//autos/7355155-ford-transit
16,Kia,Cadenza,2015,Sedan,Ağ,3.5,290,Benzin,Avtomat,128000,Xeyr,22300,USD,https://turbo.az//autos/7418371-kia-cadenza
17,Hyundai,Elantra,2015,Hetçbek,Göy,2.0,150,Benzin,Avtomat,152000,Xeyr,20800,AZN,https://turbo.az//autos/7440423-hyundai-elantra
18,Toyota,Camry,2021,Sedan,Qara,2.5,200,Hibrid,Avtomat,30000,Xeyr,38500,USD,https://turbo.az//autos/7315195-toyota-camry
19,Mercedes,C 200,1998,Sedan,Tünd qırmızı,2.0,136,Benzin,Avtomat,371317,Xeyr,11200,AZN,https://turbo.az//autos/7438076-mercedes-c-200
20,LADA (VAZ),2107,2006,Sedan,Tünd qırmızı,1.6,75,Benzin,Mexaniki,100000,Xeyr,5200,AZN,https://turbo.az//autos/7440425-lada-vaz-2107
21,Kia,Rio,2009,Sedan,Ağ,1.4,97,Benzin,Mexaniki,412000,Xeyr,8700,AZN,https://turbo.az//autos/7439201-kia-rio
22,GAZ,2705,1997,Furqon,Sarı,2.4,131,Benzin,Mexaniki,75022,Xeyr,5750,AZN,https://turbo.az//autos/7440422-gaz-2705
23,Mercedes,C 200,1997,Sedan,Göy,2.0,136,Benzin,Avtomat,259952,Xeyr,12900,AZN,https://turbo.az//autos/7440421-mercedes-c-200
24,BMW,530,2018,Sedan,Gümüşü,2.0,249,Benzin,Avtomat,117000,Xeyr,37000,USD,https://turbo.az//autos/7440388-bmw-530
25,BMW,528,2014,Sedan,Ağ,2.0,245,Benzin,Avtomat,206000,Xeyr,22300,USD,https://turbo.az//autos/7434196-bmw-528
26,Toyota,Prius,2005,Liftbek,Qara,1.5,76,Hibrid,Variator,298000,Xeyr,15200,AZN,https://turbo.az//autos/7423232-toyota-prius
27,Toyota,Camry,2018,Sedan,Ağ,2.5,181,Benzin,Avtomat,70000,Xeyr,29500,USD,https://turbo.az//autos/7396491-toyota-camry
28,Nissan,Sentra,2014,Sedan,Ağ,1.6,117,Benzin,Avtomat,167200,Xeyr,17500,AZN,https://turbo.az//autos/7187439-nissan-sentra
29,Toyota,Corolla,2021,Sedan,Ağ,1.8,140,Hibrid,Avtomat,33000,Xeyr,40800,AZN,https://turbo.az//autos/7273580-toyota-corolla
30,Hyundai,Santa Fe,2015,Offroader / SUV,Yaş Asfalt,2.0,184,Dizel,Avtomat,136000,Xeyr,39800,AZN,https://turbo.az//autos/7273608-hyundai-santa-fe
31,Hyundai,Elantra,2014,Sedan,Göy,1.8,150,Benzin,Avtomat,34700,Xeyr,22000,AZN,https://turbo.az//autos/7440409-hyundai-elantra
32,Mercedes,Axor 3340,2011,Yük maşını,Ağ,12 ,350,Dizel,Mexaniki,473457,Xeyr,64000,AZN,https://turbo.az//autos/6589568-mercedes-axor-3340
33,Mercedes,CLA 250,2014,Sedan,Gümüşü,2.0,211,Benzin,Avtomat,100500,Xeyr,20500,USD,https://turbo.az//autos/7440416-mercedes-cla-250
34,Kia,Cerato,2016,Sedan,Qara,2.0,150,Benzin,Avtomat,72043,Xeyr,24000,AZN,https://turbo.az//autos/7440398-kia-cerato
35,Hyundai,Santa Fe,2010,Offroader / SUV,Ağ,2.0,184,Dizel,Avtomat,120000,Xeyr,26800,AZN,https://turbo.az//autos/7363554-hyundai-santa-fe
36,Porsche,Cayenne GTS Coupe,2022,Offroader / SUV,Qara,4.0,460,Benzin,Avtomat,500,Xeyr,175999,USD,https://turbo.az//autos/7202269-porsche-cayenne-gts-coupe
37,Land Rover,RR Sport,2022,Offroader / SUV,Qara,3.0,300,Dizel,Avtomat,0,Bəli,177000,USD,https://turbo.az//autos/7357043-land-rover-rr-sport
38,BMW,X7,2019,Offroader / SUV,Qara,4.4,530,Benzin,Avtomat,20000,Xeyr,124500,USD,https://turbo.az//autos/6987159-bmw-x7
39,Land Rover,RR Evoque,2017,Offroader / SUV,Boz,2.0,240,Benzin,Avtomat,0,Bəli,78500,USD,https://turbo.az//autos/2450721-land-rover-rr-evoque
40,Hyundai,Elantra,2012,Sedan,Qara,1.8,150,Benzin,Avtomat,84000,Xeyr,20800,AZN,https://turbo.az//autos/7404214-hyundai-elantra
41,Porsche,Panamera GTS,2013,Liftbek,Ağ,4.8,430,Benzin,Avtomat,36000,Xeyr,47500,USD,https://turbo.az//autos/7435877-porsche-panamera-gts
42,BMW,528,2014,Sedan,Ağ,2.0,245,Benzin,Avtomat,180000,Xeyr,34500,AZN,https://turbo.az//autos/7439333-bmw-528
43,Kia,Cerato,2014,Sedan,Gümüşü,1.6,130,Dizel,Avtomat,162000,Xeyr,22800,AZN,https://turbo.az//autos/7301522-kia-cerato
44,Mercedes,ML 63 AMG,2010,Offroader / SUV,Ağ,6.2,510,Benzin,Avtomat,189000,Xeyr,20500,USD,https://turbo.az//autos/7421071-mercedes-ml-63-amg
45,Toyota,Prius,2012,Liftbek,Gümüşü,1.8,99,Hibrid,Variator,220000,Xeyr,18888,AZN,https://turbo.az//autos/7386594-toyota-prius
46,Toyota,Camry,2011,Sedan,Ağ,2.5,181,Benzin,Avtomat,179500,Xeyr,20300,USD,https://turbo.az//autos/7300527-toyota-camry
47,Lexus,LX 570,2014,Offroader / SUV,Qara,5.7,383,Benzin,Avtomat,44025,Xeyr,76500,USD,https://turbo.az//autos/7265774-lexus-lx-570
48,Hyundai,Santa Fe,2010,Offroader / SUV,Ağ,2.0,184,Dizel,Avtomat,120000,Xeyr,26800,AZN,https://turbo.az//autos/7363554-hyundai-santa-fe
49,Renault,Megane,2006,Universal,Qara,1.9,130,Dizel,Mexaniki,320000,Xeyr,10200,AZN,https://turbo.az//autos/7440415-renault-megane
50,Honda,CR-V,2022,Offroader / SUV,Yaş Asfalt,2.0,212,Hibrid,Avtomat,8500,Xeyr,37800,USD,https://turbo.az//autos/7363222-honda-cr-v
51,LADA (VAZ),21099,1997,Sedan,Qəhvəyi,1.5,65,Benzin,Mexaniki,15000,Xeyr,4700,AZN,https://turbo.az//autos/7440414-lada-vaz-21099
52,Kia,Sportage,2010,Offroader / SUV,Ağ,2.0,138,Dizel,Avtomat,152000,Xeyr,26800,AZN,https://turbo.az//autos/7372882-kia-sportage
53,LADA (VAZ),2106,2005,Sedan,Göy,1.5,65,Benzin,Mexaniki,10800,Xeyr,5300,AZN,https://turbo.az//autos/7440379-lada-vaz-2106
54,Lexus,RX 300,2002,Offroader / SUV,Yaş Asfalt,3.0,223,Benzin,Avtomat,200000,Xeyr,12500,AZN,https://turbo.az//autos/7440417-lexus-rx-300
55,Mercedes,S 500,2008,Sedan,Ağ,5.5,388,Benzin,Avtomat,213000,Xeyr,33300,USD,https://turbo.az//autos/7380632-mercedes-s-500
56,Opel,Vectra,1998,Hetçbek,Qızılı,1.6,101,Benzin,Avtomat,335000,Xeyr,6200,AZN,https://turbo.az//autos/7423119-opel-vectra
57,Kia,Ceed,2011,Hetçbek,Qara,1.4,109,Benzin,Mexaniki,108111,Xeyr,14700,AZN,https://turbo.az//autos/7351894-kia-ceed
58,Mercedes,E 220,2010,Sedan,Qara,2.2,170,Dizel,Avtomat,250000,Xeyr,28500,AZN,https://turbo.az//autos/7387204-mercedes-e-220
59,Hyundai,Tucson,2016,Offroader / SUV,Ağ,2.0,150,Benzin,Avtomat,99903,Xeyr,33300,AZN,https://turbo.az//autos/7398644-hyundai-tucson
60,BMW,328,2015,Sedan,Qara,2.0,245,Benzin,Avtomat,143000,Xeyr,21000,USD,https://turbo.az//autos/7413504-bmw-328
61,Hyundai,Santa Fe,2013,Offroader / SUV,Ağ,2.0,184,Dizel,Avtomat,88000,Xeyr,36800,AZN,https://turbo.az//autos/7404404-hyundai-santa-fe
62,Mercedes,GLS 350,2018,Offroader / SUV,Yaş Asfalt,3.0,249,Benzin,Avtomat,82000,Xeyr,68500,USD,https://turbo.az//autos/7409923-mercedes-gls-350
63,BMW,528,2012,Sedan,Ağ,2.0,245,Benzin,Avtomat,127000,Xeyr,34500,AZN,https://turbo.az//autos/7409968-bmw-528
64,Volkswagen,ID.6,2022,Offroader / SUV,Ağ,0.0,204,Elektro,Avtomat,0,Bəli,40700,USD,https://turbo.az//autos/7399171-volkswagen-id-6
65,Toyota,Prado,2007,Offroader / SUV,Qara,2.7,167,Benzin,Avtomat,292000,Xeyr,25500,AZN,https://turbo.az//autos/7414188-toyota-prado
66,LADA (VAZ),Niva,2013,Offroader / SUV,Ağ,1.7,80,Benzin,Mexaniki,199000,Xeyr,7650,AZN,https://turbo.az//autos/7431858-lada-vaz-niva
67,Toyota,Prado,2013,Offroader / SUV,Ağ,2.7,167,Benzin,Avtomat,163000,Xeyr,30500,USD,https://turbo.az//autos/7440411-toyota-prado
68,Toyota,RAV4,2019,Offroader / SUV,Ağ,2.0,175,Benzin,Avtomat,45800,Xeyr,32200,USD,https://turbo.az//autos/7406241-toyota-rav4
69,Toyota,Prius,2008,Liftbek,Qara,1.5,76,Hibrid,Avtomat,314788,Xeyr,14800,AZN,https://turbo.az//autos/7432809-toyota-prius
70,Mercedes,C 220,2000,Sedan,Gümüşü,2.2,125,Dizel,Avtomat,538000,Xeyr,14800,AZN,https://turbo.az//autos/7424134-mercedes-c-220
71,LADA (VAZ),2110,2011,Sedan,Göy,1.6,75,Benzin,Mexaniki,200000,Xeyr,9700,AZN,https://turbo.az//autos/7440408-lada-vaz-2110
72,Volkswagen,ID.4,2020,Offroader / SUV,Tünd qırmızı,0.0,204,Elektro,Avtomat,4000,Xeyr,31900,USD,https://turbo.az//autos/7275735-volkswagen-id-4
73,Fiat,Ducato,2022,Furqon,Ağ,2.3,130,Dizel,Mexaniki,0,Bəli,123500,AZN,https://turbo.az//autos/7033358-fiat-ducato
74,Mercedes,G 63 AMG,2013,Offroader / SUV,Ağ,5.5,544,Benzin,Avtomat,100700,Xeyr,67777,USD,https://turbo.az//autos/7268489-mercedes-g-63-amg
75,Haval,H6,2022,Offroader / SUV,Mavi,1.5,243,Hibrid,Avtomat,0,Bəli,56500,AZN,https://turbo.az//autos/6586921-haval-h6
76,Mercedes,CLA 250,2014,Sedan,Qara,2.0,211,Benzin,Avtomat,94000,Xeyr,24500,USD,https://turbo.az//autos/7239083-mercedes-cla-250
77,BMW,328,2014,Sedan,Qara,2.0,245,Benzin,Avtomat,156000,Xeyr,27900,AZN,https://turbo.az//autos/7383271-bmw-328
78,BMW,X5,2020,Offroader / SUV,Göy,3.0,340,Benzin,Avtomat,55000,Xeyr,82000,USD,https://turbo.az//autos/7142608-bmw-x5
79,LADA (VAZ),Priora,2015,Sedan,Göy,1.6,106,Benzin,Mexaniki,181000,Xeyr,13400,AZN,https://turbo.az//autos/7393214-lada-vaz-priora
80,Kia,Optima,2012,Sedan,Ağ,2.0,150,Benzin,Avtomat,195000,Xeyr,24600,AZN,https://turbo.az//autos/7432987-kia-optima
81,Mercedes,GLS 450,2020,Offroader / SUV,Ağ,3.0,367,Benzin,Avtomat,11500,Xeyr,98500,USD,https://turbo.az//autos/7222993-mercedes-gls-450
82,BMW,530,2019,Sedan,Boz,2.0,252,Benzin,Avtomat,40000,Xeyr,47700,USD,https://turbo.az//autos/7354582-bmw-530
83,Mercedes,C 220,1995,Sedan,Ağ,2.2,146,Benzin,Avtomat,465000,Xeyr,8000,AZN,https://turbo.az//autos/7428705-mercedes-c-220
84,LADA (VAZ),2106,2005,Sedan,Ağ,1.5,65,Benzin,Mexaniki,18000,Xeyr,4900,AZN,https://turbo.az//autos/7407702-lada-vaz-2106
85,Chevrolet,Cruze,2012,Sedan,Ağ,1.6,113,Benzin,Mexaniki,382000,Xeyr,13000,AZN,https://turbo.az//autos/7440404-chevrolet-cruze
86,Mercedes,E 220,2007,Sedan,Ağ,2.2,170,Dizel,Avtomat,296000,Xeyr,22500,AZN,https://turbo.az//autos/7440400-mercedes-e-220
87,Hyundai,Staria,2023,Minivan,Qara,2.2,177,Dizel,Avtomat,0,Bəli,69500,USD,https://turbo.az//autos/7369334-hyundai-staria
88,Toyota,RAV4,2023,Offroader / SUV,Ağ,2.5,218,Hibrid,Avtomat,0,Bəli,49540,USD,https://turbo.az//autos/7440389-toyota-rav4
89,Ford,Fusion,2013,Sedan,Tünd qırmızı,1.6,181,Benzin,Avtomat,126000,Xeyr,16300,AZN,https://turbo.az//autos/7419184-ford-fusion
90,BMW,520,1992,Sedan,Gümüşü,2.0,150,Benzin,Mexaniki,300000,Xeyr,6000,AZN,https://turbo.az//autos/7440402-bmw-520
91,Land Rover,Discovery,2015,Offroader / SUV,Qırmızı,2.2,190,Dizel,Avtomat,128000,Xeyr,31000,USD,https://turbo.az//autos/7440396-land-rover-discovery
92,Hyundai,ix35,2014,Offroader / SUV,Ağ,2.0,166,Benzin,Avtomat,112000,Xeyr,29700,AZN,https://turbo.az//autos/7436213-hyundai-ix35
93,KamAz,55111,1978,Yük maşını,Qırmızı,11 ,191,Dizel,Mexaniki,350000,Xeyr,20000,AZN,https://turbo.az//autos/7440395-kamaz-55111
94,Chevrolet,Cruze,2012,Sedan,Qara,1.4,140,Benzin,Avtomat,313322,Xeyr,13300,AZN,https://turbo.az//autos/7440397-chevrolet-cruze
95,Scania,R 420,2008,Dartqı,Qızılı,13 ,450,Dizel,Avtomat,1450000,Xeyr,56000,AZN,https://turbo.az//autos/7419754-scania-r-420
96,Mercedes,E 240,1999,Sedan,Göy,2.4,170,Benzin,Avtomat,310000,Xeyr,13300,AZN,https://turbo.az//autos/7433642-mercedes-e-240
97,Hyundai,Santa Fe,2014,Offroader / SUV,Ağ,2.0,184,Dizel,Avtomat,143000,Xeyr,35900,AZN,https://turbo.az//autos/7436533-hyundai-santa-fe
98,Kia,Rio,2006,Hetçbek,Narıncı,1.4,97,Benzin,Mexaniki,198000,Xeyr,10300,AZN,https://turbo.az//autos/7440392-kia-rio
99,Lexus,LX 570,2014,Offroader / SUV,Qara,5.7,383,Benzin,Avtomat,166469,Xeyr,55000,USD,https://turbo.az//autos/7145530-lexus-lx-570
100,Toyota,Prius,2005,Liftbek,Mavi,1.5,76,Hibrid,Avtomat,180315,Xeyr,13600,AZN,https://turbo.az//autos/7416087-toyota-prius
101,Chevrolet,Aveo,2011,Sedan,Ağ,1.4,100,Benzin,Avtomat,112500,Xeyr,11500,AZN,https://turbo.az//autos/7434567-chevrolet-aveo
102,BMW,328,2015,Sedan,Göy,2.0,245,Benzin,Avtomat,139452,Xeyr,22000,USD,https://turbo.az//autos/7402520-bmw-328
103,Hyundai,Elantra,2020,Sedan,Gümüşü,2.0,150,Benzin,Avtomat,38000,Xeyr,31500,AZN,https://turbo.az//autos/7413356-hyundai-elantra
104,Hyundai,Accent,2011,Sedan,Gümüşü,1.6,123,Benzin,Avtomat,171529,Xeyr,17300,AZN,https://turbo.az//autos/7428138-hyundai-accent
105,Hyundai,Veloster,2013,Hetçbek,Ağ,1.6,186,Benzin,Avtomat,172200,Xeyr,20000,AZN,https://turbo.az//autos/7351446-hyundai-veloster
106,Volkswagen,Jetta,2017,Sedan,Ağ,1.4,150,Benzin,Avtomat,64000,Xeyr,18600,AZN,https://turbo.az//autos/7440383-volkswagen-jetta
107,Mercedes,E 220,2009,Sedan,Yaş Asfalt,2.2,170,Dizel,Avtomat,290524,Xeyr,22800,AZN,https://turbo.az//autos/7362332-mercedes-e-220
108,Land Rover,Range Rover,2022,Offroader / SUV,Qara,3.0,400,Benzin,Avtomat,0,Bəli,245000,USD,https://turbo.az//autos/7262092-land-rover-range-rover
109,Renault,Koleos,2022,Offroader / SUV,Ağ,2.5,171,Benzin,Avtomat,0,Bəli,34900,USD,https://turbo.az//autos/7282039-renault-koleos
110,Lexus,UX 250h,2022,Offroader / SUV,Boz,2.5,218,Hibrid,Avtomat,0,Bəli,44000,USD,https://turbo.az//autos/6831734-lexus-ux-250h
111,Land Rover,Range Rover,2022,Offroader / SUV,Boz,3.0,400,Benzin,Avtomat,4000,Xeyr,159000,USD,https://turbo.az//autos/7284593-land-rover-range-rover
112,Mercedes,GLC 300,2020,Offroader / SUV,Ağ,2.0,249,Benzin,Avtomat,9300,Xeyr,43900,USD,https://turbo.az//autos/7287374-mercedes-glc-300
113,Nissan,Pathfinder,2005,Offroader / SUV,Qəhvəyi,4.0,269,Benzin,Avtomat,450616,Xeyr,18500,AZN,https://turbo.az//autos/7392539-nissan-pathfinder
114,Toyota,Land Cruiser,2013,Offroader / SUV,Ağ,4.0,282,Benzin,Avtomat,83268,Xeyr,45700,USD,https://turbo.az//autos/7409580-toyota-land-cruiser
115,Lexus,NX 200,2023,Offroader / SUV,Qara,2.0,150,Benzin,Avtomat,0,Bəli,49200,USD,https://turbo.az//autos/7402689-lexus-nx-200
116,Mercedes,GLC 300,2018,Offroader / SUV,Ağ,2.0,245,Benzin,Avtomat,90000,Xeyr,29800,USD,https://turbo.az//autos/7409632-mercedes-glc-300
117,Nissan,Juke,2015,Offroader / SUV,Tünd qırmızı,1.6,117,Benzin,Avtomat,103000,Xeyr,22700,AZN,https://turbo.az//autos/7427596-nissan-juke
118,Mercedes,E 200,2018,Sedan,Gümüşü,2.0,197,Benzin,Avtomat,63000,Xeyr,38000,USD,https://turbo.az//autos/7386394-mercedes-e-200
119,Mercedes,E 220,1996,Sedan,Qara,2.2,143,Dizel,Avtomat,290000,Xeyr,8100,AZN,https://turbo.az//autos/7394199-mercedes-e-220
120,LADA (VAZ),2106,1998,Sedan,Göy,1.6,75,Benzin,Mexaniki,400000,Xeyr,6000,AZN,https://turbo.az//autos/7440384-lada-vaz-2106
121,Mitsubishi,Pajero io,2001,Offroader / SUV,Qara,2.0,136,Benzin,Avtomat,262000,Xeyr,12200,AZN,https://turbo.az//autos/7437567-mitsubishi-pajero-io
122,Volkswagen,Tiguan,2009,Offroader / SUV,Ağ,2.0,170,Benzin,Avtomat,215000,Xeyr,15500,AZN,https://turbo.az//autos/7440381-volkswagen-tiguan
123,Toyota,Prado,2008,Offroader / SUV,Qara,2.7,163,Benzin,Avtomat,131200,Xeyr,28200,AZN,https://turbo.az//autos/7440382-toyota-prado
124,Volkswagen,ID.6,2022,Offroader / SUV,Ağ,0.0,204,Elektro,Avtomat,0,Bəli,37500,USD,https://turbo.az//autos/7192843-volkswagen-id-6
125,LADA (VAZ),2107,2012,Sedan,Qara,1.6,75,Benzin,Mexaniki,75600,Xeyr,6200,AZN,https://turbo.az//autos/7416799-lada-vaz-2107
126,Kia,Rio,2006,Hetçbek,Boz,1.4,97,Benzin,Mexaniki,128500,Xeyr,11900,AZN,https://turbo.az//autos/7418324-kia-rio
127,Khazar,SD,2022,Sedan,Qara,1.7,113,Benzin,Mexaniki,51000,Xeyr,13300,AZN,https://turbo.az//autos/7440374-khazar-sd
128,Ducati,1199 Panigale S,2013,Motosiklet,Qırmızı,1.2,200,Benzin,Mexaniki,14000,Xeyr,16000,USD,https://turbo.az//autos/7375805-ducati-1199-panigale-s
129,Mercedes,190,1991,Sedan,Bənövşəyi,1.8,109,Benzin,Mexaniki,425000,Xeyr,5900,AZN,https://turbo.az//autos/7440380-mercedes-190
130,Toyota,Corolla,2019,Sedan,Yaş Asfalt,1.6,124,Benzin,Avtomat,67000,Xeyr,20800,USD,https://turbo.az//autos/7372550-toyota-corolla
131,Kia,Sorento,2011,Offroader / SUV,Ağ,2.0,184,Dizel,Avtomat,210000,Xeyr,29500,AZN,https://turbo.az//autos/7410815-kia-sorento
132,Kia,Rio,2005,Hetçbek,Narıncı,1.5,110,Dizel,Mexaniki,432514,Xeyr,11200,AZN,https://turbo.az//autos/7440324-kia-rio
133,BMW,523,2000,Sedan,Qara,2.5,170,Benzin,Avtomat,295000,Xeyr,16800,AZN,https://turbo.az//autos/7440377-bmw-523
134,Mercedes,S 500,2017,Sedan,Qara,4.7,455,Benzin,Avtomat,101000,Xeyr,74999,USD,https://turbo.az//autos/5012429-mercedes-s-500
135,Mercedes,E 240,2000,Sedan,Göy,2.6,170,Benzin,Avtomat,320000,Xeyr,14300,AZN,https://turbo.az//autos/7440376-mercedes-e-240
136,Toyota,Highlander,2022,Offroader / SUV,Ağ,2.5,249,Hibrid,Avtomat,0,Bəli,59999,USD,https://turbo.az//autos/6368625-toyota-highlander
137,Toyota,Camry,2022,Sedan,Ağ,2.5,218,Hibrid,Avtomat,0,Bəli,39800,USD,https://turbo.az//autos/6390658-toyota-camry
138,Mercedes,GLS 580,2020,Offroader / SUV,Qara,4.0,483,Benzin,Avtomat,54000,Xeyr,142999,USD,https://turbo.az//autos/6501857-mercedes-gls-580
139,Kia,Ceed,2007,Hetçbek,Qara,1.6,115,Dizel,Mexaniki,260000,Xeyr,13800,AZN,https://turbo.az//autos/7440369-kia-ceed
140,BMW,528,2014,Sedan,Ağ,2.0,245,Benzin,Avtomat,180000,Xeyr,34500,AZN,https://turbo.az//autos/7439333-bmw-528
141,Toyota,Highlander,2022,Offroader / SUV,Yaş Asfalt,2.5,249,Hibrid,Avtomat,0,Bəli,59999,USD,https://turbo.az//autos/6605812-toyota-highlander
142,Mercedes,C 220,2000,Universal,Gümüşü,2.2,143,Dizel,Avtomat,438000,Xeyr,13800,AZN,https://turbo.az//autos/7440367-mercedes-c-220
143,Bentley,Continental Flying Spur,2011,Sedan,Qara,6.2,610,Benzin,Avtomat,87500,Xeyr,57999,USD,https://turbo.az//autos/6634787-bentley-continental-flying-spur
144,Land Rover,Range Rover,2022,Offroader / SUV,Qara,4.4,530,Benzin,Avtomat,0,Bəli,267000,USD,https://turbo.az//autos/7252463-land-rover-range-rover
145,Volvo,S90,2017,Sedan,Boz,2.0,249,Benzin,Avtomat,73000,Xeyr,38500,USD,https://turbo.az//autos/7345183-volvo-s90
146,Mercedes,E 200,2022,Sedan,Qara,2.0,197,Benzin,Avtomat,0,Bəli,124750,AZN,https://turbo.az//autos/7353982-mercedes-e-200
147,DFSK,C-35,2023,Furqon,Ağ,1.5,115,Benzin,Mexaniki,0,Bəli,30200,AZN,https://turbo.az//autos/7359464-dfsk-c-35
148,Daewoo,Damas,2009,Furqon,Ağ,0.8,38,Benzin,Mexaniki,99000,Xeyr,6400,AZN,https://turbo.az//autos/7407446-daewoo-damas
149,BMW,X6,2010,Offroader / SUV,Ağ,4.4,407,Benzin,Avtomat,132000,Xeyr,26500,USD,https://turbo.az//autos/7337452-bmw-x6
150,Hyundai,Grandeur,2013,Sedan,Qara,2.4,200,Benzin,Avtomat,129000,Xeyr,27500,AZN,https://turbo.az//autos/7434300-hyundai-grandeur
151,Chevrolet,Cruze,2015,Sedan,Qara,1.4,141,Benzin,Avtomat,189000,Xeyr,14500,AZN,https://turbo.az//autos/7439021-chevrolet-cruze
152,Hyundai,Genesis,2013,Sedan,Ağ,3.8,330,Benzin,Avtomat,200000,Xeyr,27500,AZN,https://turbo.az//autos/7360493-hyundai-genesis
153,Ford,Transit,1998,Furqon,Ağ,2.5,85,Dizel,Mexaniki,370000,Xeyr,13900,AZN,https://turbo.az//autos/7371690-ford-transit
154,Lexus,GS 350,2014,Sedan,Boz,3.5,306,Benzin,Avtomat,93000,Xeyr,28950,USD,https://turbo.az//autos/7437630-lexus-gs-350
155,Lexus,LX 450,2016,Offroader / SUV,Boz,4.5,272,Dizel,Avtomat,181300,Xeyr,72000,USD,https://turbo.az//autos/7415803-lexus-lx-450
156,Bentley,Continental Flying Spur,2011,Sedan,Qara,6.2,610,Benzin,Avtomat,87500,Xeyr,57999,USD,https://turbo.az//autos/6634787-bentley-continental-flying-spur
157,Hyundai,Elantra,2016,Sedan,Yaş Asfalt,2.0,150,Benzin,Avtomat,71700,Xeyr,25500,AZN,https://turbo.az//autos/7422499-hyundai-elantra
158,BMW,320,2014,Sedan,Qara,2.0,184,Dizel,Avtomat,134000,Xeyr,21900,USD,https://turbo.az//autos/7350080-bmw-320
159,Hyundai,Sonata,2020,Sedan,Ağ,2.0,165,Hibrid,Avtomat,0,Bəli,35999,USD,https://turbo.az//autos/6734529-hyundai-sonata
160,Toyota,Land Cruiser,2022,Offroader / SUV,Qara,3.5,415,Benzin,Avtomat,0,Bəli,121900,USD,https://turbo.az//autos/6074059-toyota-land-cruiser
161,Kia,Cerato,2008,Sedan,Ağ,1.6,122,Benzin,Avtomat,263000,Xeyr,13000,AZN,https://turbo.az//autos/7410411-kia-cerato
162,Nissan,Tiida,2012,Hetçbek,Gümüşü,1.5,109,Benzin,Avtomat,42416,Xeyr,14300,AZN,https://turbo.az//autos/7158002-nissan-tiida
163,Hyundai,Sonata,2020,Sedan,Qırmızı,2.0,165,Hibrid,Avtomat,0,Bəli,35999,USD,https://turbo.az//autos/6734536-hyundai-sonata
164,LADA (VAZ),2106,1987,Sedan,Göy,1.5,65,Benzin,Mexaniki,255000,Xeyr,2700,AZN,https://turbo.az//autos/7440363-lada-vaz-2106
165,Mercedes,S 350,2009,Sedan,Qara,3.5,306,Benzin,Avtomat,183000,Xeyr,36500,AZN,https://turbo.az//autos/7271606-mercedes-s-350
166,Nissan,Note,2013,Hetçbek,Qara,1.2,98,Benzin,Avtomat,38452,Xeyr,14700,AZN,https://turbo.az//autos/7252397-nissan-note
